ID,Q793_1,Q658_1,Q658_2,Q658_3,Q658_4,Q658_5,Q668_1,Q668_2,Q668_3,Q846_1,Q846_2,Q847_1,Q796,Q7,Q8,Q789,Q10,Q819,Q820,condition,random,proclamation,advisor,h1,h2,h3,h4,h5,m1,m2,m3,d1,g1,imm
336,Moderately likely,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Disagree,Moderately,Moderately,Somewhat,Sometimes,Sometimes,Somewhat,Not really any specific politician but I could see a lot of politicians doing something like this.,Male,30,Democrat,Perceptions of a candidate and opinions about actions and words that they have said.,,"Yes, he did lie about his campaign contributions.",5,61424,control,no,3,4,3,2,2,5,5,4,4,4,4
337,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Frequently,Frequently,Extremely,Yes basically all of them,Female,33,Democrat,I think it had something to do with how Id view a candidate and their responses about lying when they get caught lying,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,31696,absolute,yes,7,7,7,7,7,1,1,1,6,6,7
338,Not very likely,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Not very,Not very,Not very,Frequently,Frequently,Moderately,no,Male,44,Republican,attitude for the politician with lie ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,96482,absolute,no,5,6,6,5,6,2,2,2,6,6,5
339,Not very likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not very,Frequently,Frequently,Very,no,Male,28,Democrat,see what people think about what is okay to lie or not,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,30224,absolute,yes,7,7,7,7,7,2,2,2,6,6,6
340,Slightly likely,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat disagree,Not very,Slightly,Slightly,Once in a while,Sometimes,Moderately,None that I can think of.,Female,45,Other,I have no idea.,,"Yes, he did lie about his campaign contributions.",5,14044,control,no,5,6,5,6,3,2,3,3,3,4,5
341,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Once in a while,Sometimes,Very,yes,Female,69,Republican,To assess whether or not people think it is OK for politicians to tell lies or stretch the truth.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,69404,absolute,no,6,6,6,6,6,2,2,2,3,4,6
342,Not very likely,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Slightly,Slightly,Slightly,Frequently,Frequently,Moderately,no,Female,30,Democrat,To see hoe people felt about candidate who was against lying but also lied. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,61147,absolute,yes,7,7,6,6,7,3,3,3,6,6,5
343,Not at all likely,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat,Somewhat,Somewhat,Once in a while,Almost never,Somewhat,no,Female,31,Other,How voters view candidates based on their morals over their ideas or contributions/changes they wish to make when in office.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,44339,absolute,no,4,4,4,4,4,4,4,4,3,2,4
344,Not at all likely,Agree,Agree,Agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Sometimes,Never ever,Extremely,The 45th President,Male,28,Democrat,I dont know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,88788,flexible,yes,6,6,6,7,7,1,1,1,4,1,7
345,Not very likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not very,Frequently,Pretty often,Very,"I didn't think of anyone in particular, no.",Female,40,Democrat,I'm uncertain about the purpose of the study.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,49824,flexible,yes,7,7,7,7,7,2,2,2,6,5,6
346,Somewhat likely,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat,Somewhat,Somewhat,Sometimes,Once in a while,Somewhat,Republican candidates for Senate in Georgia.,Male,68,Democrat,"Judgment of political candidate.
",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,19253,absolute,no,5,5,4,5,5,4,4,4,4,3,4
347,Slightly likely,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Slightly,Slightly,Not very,Pretty often,Pretty often,Very,The Democratic candidate for Governor in Missouri had a similar scandal.,Male,30,Other,I think it was to gauge willingness to abandon a candidate due to immoral actions.,,"Yes, he did lie about his campaign contributions.",5,10677,control,no,4,5,5,6,3,3,3,2,5,5,6
348,Moderately likely,Strongly disagree,Strongly disagree,Somewhat disagree,Disagree,Agree,Extremely,Moderately,Somewhat,Pretty often,Always,Extremely,Joe Biden,Male,47,Republican,Evaluating the words and deceptions of politician,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,34601,flexible,no,1,1,3,2,6,7,5,4,5,7,7
349,Not very likely,Agree,Strongly agree,Agree,Agree,Strongly agree,Not very,Not very,Not very,Sometimes,Pretty often,Very,Not any specific politician.,Male,25,Democrat,"How people view the actions and behaviors of politicians, namely ones that act differently or inconsistently than they claim.",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,66800,absolute,yes,6,7,6,6,7,2,2,2,4,5,6
350,Moderately likely,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Very,Extremely,Moderately,Pretty often,Always,Very,"By Matthew W. Johnson, David B. Yaden on November 5, 2020 We suggest that there is no evidence that people change political or religious use the term “liberal” in reference to the scale because that term had a political meaning in the United LSD under medical treatment compared to those who did not take LSD.",Female,42,Democrat,The survey is very nice,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,20700,absolute,yes,7,5,6,6,5,6,7,5,5,7,6
351,Not at all likely,Strongly agree,Agree,Strongly agree,Agree,Agree,Not at all,Not at all,Not at all,Always,Always,Extremely,"Trump, actually.",Female,31,Republican,To determine whether or not a person would vote for an immoral politician.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,83814,flexible,no,7,6,7,6,6,1,1,1,7,7,7
352,Extremely likely,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Extremely,Extremely,Very,Always,Always,Extremely," plan to focus on education, both our K-12 institutions and higher education, if elected to office",Female,43,Republican,"psychology research study. In this study, you will learn information about a political candidate and answer questions related to this information.",,"Yes, he did lie about his campaign contributions.",5,48757,control,no,7,7,7,6,7,7,7,6,7,7,7
353,Not very likely,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Slightly,Slightly,Not very,Frequently,Frequently,Moderately,Donald Trump,Female,38,Democrat,To see if a lie would change how you feel about a political candidate. ,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,21863,absolute,yes,3,3,3,5,7,3,3,2,6,6,5
354,Not at all likely,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Not at all,Not at all,Not at all,Frequently,Frequently,Extremely,"I can't think of any in specific, although Trump comes to mind anytime ""politician"" and ""lying"" are in the same sentence.",Female,49,Democrat,"I want to say it had to do with party loyalty: would we vote for someone in our own party if that person espouses a view contrary to our own and lies to us. Could also be how we feel about someone who lies and who also espouses lying (it's kind of a conundrum: this person lied and did something he said he didn't do, which kind of makes him a hypocrite...but at the same time, lying seems to be one of his ""values""...so does that make him a hypocrite or not?) Other than that...I have no clue!",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,78982,flexible,no,7,5,7,7,3,1,1,1,6,6,7
355,Not at all likely,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Not at all,Not at all,Not at all,Frequently,Frequently,Not at all,Trump,Female,32,Democrat,If you still trust a dishonest candidate.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,36736,flexible,yes,6,2,7,7,2,1,1,1,6,6,1
356,Not very likely,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Slightly,Slightly,Not very,Sometimes,Once in a while,Moderately,"No, not really, as I haven't focused on any local or state elections. All presidential candidates have PACs and super PACs.",Male,34,Democrat,It was to study how catching a politician in a lie affects your opinion of them.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,18973,absolute,no,7,7,6,6,7,3,3,2,4,3,5
357,Not very likely,Agree,Disagree,Agree,Agree,Somewhat agree,Not very,Not very,Not very,Frequently,Frequently,Extremely,no,Male,44,Other,to see how people perceive politicians ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,11752,flexible,no,6,2,6,6,5,2,2,2,6,6,7
358,Not very likely,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat,Somewhat,Somewhat,Frequently,Frequently,Extremely,Not really,Female,52,Democrat, learn information about a political candidate,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,44493,absolute,no,6,7,6,7,7,4,4,4,6,6,7
359,Slightly likely,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly,Slightly,Slightly,Once in a while,Once in a while,Slightly,not really,Female,60,Democrat,no idea,,"Yes, he did lie about his campaign contributions.",5,72774,control,no,4,4,4,4,4,3,3,3,3,3,3
360,Not very likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Not very,Not at all,Not at all,Frequently,Sometimes,Extremely,Joe Biden,Male,43,Republican,To see if I would vote for someone that lied to me. ,,"Yes, he did lie about his campaign contributions.",5,56945,control,no,7,7,7,7,2,2,1,1,6,4,7
361,Not very likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not at all,Pretty often,Frequently,Very,most of them really,Female,39,Other,I really have no idea,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,65259,flexible,yes,6,6,6,6,6,2,2,1,5,6,6
362,Very likely,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Slightly,Slightly,Slightly,Pretty often,Pretty often,Moderately,No politicians came to mind.,Female,40,Republican,"To see if people would still be willing to vote for their candidate knowing they admitted that lying, sometimes for a politician, is ok.",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,15660,flexible,yes,2,3,3,3,3,3,3,3,5,5,5
363,Not at all likely,Agree,Agree,Agree,Agree,Agree,Not very,Not very,Not very,Frequently,Always,Very,Donald J Trump,Female,71,Democrat,To measure tolerance for lying in politics.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,26579,absolute,no,6,6,6,6,6,2,2,2,6,7,6
364,Not very likely,Strongly agree,Agree,Agree,Agree,Strongly agree,Not very,Slightly,Not very,Sometimes,Pretty often,Slightly,no,Male,35,Democrat,"the study was aimed at getting respondents' views on how ethical and moral it is for a politician to lie, and if such hypocrisy will make a difference to their support of the politician",He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,36394,absolute,yes,7,6,6,6,7,2,3,2,4,5,3
365,Not very likely,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Not very,Not very,Not at all,Frequently,Pretty often,Extremely,Yes,Male,29,Democrat,Evaluating how insincere politicians can affect voters decisions.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,76258,absolute,yes,7,7,7,6,7,2,2,1,6,5,7
366,Not very likely,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Slightly,Slightly,Slightly,Sometimes,Sometimes,Somewhat,no,Male,36,Republican,idk,,"Yes, he did lie about his campaign contributions.",5,22270,control,no,4,4,4,2,4,3,3,3,4,4,4
367,Not very likely,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat,Slightly,Slightly,Sometimes,Pretty often,Somewhat,No,Female,34,Democrat,I'm not sure,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,39496,flexible,no,3,5,3,5,2,4,3,3,4,5,4
368,Not very likely,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Not very,Slightly,Not very,Sometimes,Pretty often,Somewhat,"Every other politician act in that way,like him.",Male,39,Republican,People opinion research about the politicians.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,95652,absolute,yes,7,7,6,6,7,2,3,2,4,5,4
369,Not very likely,Agree,Strongly agree,Agree,Agree,Strongly agree,Not very,Not very,Not very,Pretty often,Frequently,Moderately,Donald Trump,Male,23,Democrat,How people react to political candidate campaign details,,"Yes, he did lie about his campaign contributions.",5,58327,control,no,6,7,6,6,7,2,2,2,5,6,5
370,Slightly likely,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Slightly,Somewhat,Somewhat,Sometimes,Sometimes,Somewhat,none,Male,27,Democrat,dont know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,91429,flexible,yes,5,6,5,6,5,3,4,4,4,4,4
371,Not very likely,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Not very,Not very,Not very,Sometimes,Sometimes,Somewhat,Every single politician ever. No specific ones though,Male,39,Democrat,unsure.,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,30978,absolute,no,7,5,7,7,7,2,2,2,4,4,4
372,Slightly likely,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat,Somewhat,Somewhat,Sometimes,Once in a while,Somewhat,"Honestly, he sounds like a standard politician. He may not outright lie but he is obtuse. ",Male,29,Republican,To see how we evaluated the politician after seeing how he lied about campaign contributions.,,"Yes, he did lie about his campaign contributions.",5,39941,control,no,5,5,4,4,5,4,4,4,4,3,4
373,Moderately likely,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat,Somewhat,Somewhat,Once in a while,Almost never,Moderately,no,Male,31,Democrat,no idea,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,81030,absolute,no,4,4,4,5,3,4,4,4,3,2,5
374,Slightly likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly,Slightly,Slightly,Sometimes,Sometimes,Somewhat,no,Female,38,Democrat,i don't know,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,26950,flexible,yes,7,7,7,7,7,3,3,3,4,4,4
375,Not at all likely,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Not at all,Not at all,Not at all,Pretty often,Never ever,Extremely,It brings many politicians to mind. Trump and his cronies have a total disregard to honesty.,Male,38,Democrat,Our thoughts about honesty in politics.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,90896,flexible,yes,4,7,7,7,1,1,1,1,5,1,7
376,Not very likely,Agree,Neither agree nor disagree,Agree,Agree,Agree,Not very,Slightly,Not very,Sometimes,Once in a while,Very,Trump,Female,58,Democrat,"The purpose of this study may be to test attitudes toward PAC's, and especially about lying about political funding sources.",,"Yes, he did lie about his campaign contributions.",5,85104,control,no,6,4,6,6,6,2,3,2,4,3,6
377,Somewhat likely,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat,Somewhat,Moderately,Pretty often,Sometimes,Very,no,Female,32,Democrat,no idea,,"Yes, he did lie about his campaign contributions.",5,29830,control,no,6,6,5,5,6,4,4,5,5,4,6
378,Not very likely,Agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Not very,Not very,Not very,Pretty often,Pretty often,Very,N/A,Male,30,Other,-,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,95771,flexible,no,6,5,5,6,4,2,2,2,5,5,6
379,Not at all likely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all,Not at all,Not at all,Sometimes,Pretty often,Moderately,no,Female,28,Democrat,comparing integrity values,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",1,12388,absolute,no,7,7,7,7,7,1,1,1,4,5,5
380,Not very likely,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Not at all,Not at all,Not at all,Pretty often,Pretty often,Very,Donald Trump,Male,28,Democrat,How people view and perceive politicians. ,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,14734,flexible,no,1,1,3,3,1,1,1,1,5,5,6
381,Somewhat likely,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat,Somewhat,Somewhat,Sometimes,Pretty often,Somewhat,not really,Male,33,Democrat,no idea,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",2,27796,flexible,no,3,4,3,3,3,4,4,4,4,5,4
382,Somewhat likely,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat,Slightly,Somewhat,Once in a while,Once in a while,Moderately,Most if not all of them.,Male,32,Democrat,I am not sure.,He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,69895,flexible,yes,4,7,3,3,6,4,3,4,3,3,5
383,Very likely,Strongly agree,Strongly agree,Agree,Agree,Agree,Very,Extremely,Very,Frequently,Always,Very,good,Female,45,Democrat,good,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,19039,absolute,yes,7,7,6,6,6,6,7,6,6,7,6
384,Not very likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Not very,Not very,Not at all,Pretty often,Frequently,Very,"Many of them, if not most.",Male,70,Democrat,"Matthew Johnson says what his campaign manager advised, but we also see that he does, in fact, practice deception (accepting PAC money). So he's being honest in his response during the interview, but dishonest in his daily practice. I'd have a hard time trusting him. I think the researchers are looking for how respondents rate candidates according to their relative truthtelling, i.e. when they tell the truth only when it serves to benefit themselves.",He suggested that lying is sometimes acceptable in politics.,"Yes, he did lie about his campaign contributions.",4,86858,flexible,yes,5,5,5,5,5,2,2,1,5,6,6
385,Moderately likely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Not very,Not very,Not very,Sometimes,Sometimes,Very,No,Male,39,Other,To see if people are angry about hypocrisy.  My thoughts are more democrats will care and more republicans will not care.,,"Yes, he did lie about his campaign contributions.",5,24018,control,no,5,5,5,5,5,2,2,2,4,4,6
386,Not very likely,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Not very,Not very,Slightly,Once in a while,Once in a while,Slightly,no,Female,46,Republican,deceptive politician,He suggested that lying is never acceptable in politics.,"Yes, he did lie about his campaign contributions.",3,88400,absolute,yes,5,6,5,5,6,2,2,3,3,3,3
